Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
54.0,1.9630035294403505,3.262786720740894,0.23458832578567174,6.675993286660658,4.700161545623606,3.4006139540313094
55.0,2.0190508219330408,3.1827539235731015,0.23907693789113796,6.783656078870002,4.7915454600799645,3.4427760501612905
56.0,2.0621125598482384,3.123716956595545,0.24249966972165304,6.902323113629783,4.85762816398833,3.4726608392531144
57.0,2.1060730877203264,3.0655132596438124,0.24597140290414696,7.025219306381456,4.934324457104072,3.504170450379004
58.0,2.1661155297135957,2.9891842243418814,0.2506778187625506,7.188882333702573,5.026140078262145,3.544213384399919
59.0,2.2122417459579915,2.932879373130678,0.2542666339659365,7.310795600496741,5.08974366646306,3.574293873867713
60.0,2.2593261018160335,2.8773692298325795,0.2579068282447733,7.43613622626902,5.148980621321801,3.6053237183508573
61.0,2.323627460004302,2.804572553516131,0.26284161648483073,7.676337098104664,5.241138809742255,3.6540968322643748
62.0,2.373019331576575,2.7508733810786152,0.26660457402921883,7.8430894328235885,5.311030126107981,3.6903125053864265
63.0,2.4234315422739354,2.6979321390209017,0.2704214037483038,8.027518039666276,5.372980437532694,3.7226988356907187
64.0,2.4748832930541576,2.6457381296276536,0.2742928769001113,8.264636630580382,5.428013848247687,3.7559625791463827
65.0,2.5273940279894926,2.594280806175122,0.2782197757843402,8.484416220231433,5.479858225567963,3.789676017082998
66.0,2.580983429654348,2.543549770799998,0.2822028939004399,8.737186677385425,5.534271257763452,3.830049282234984
67.0,2.6356714139081894,2.493534772398338,0.28624303610795104,8.952189824615505,5.60230903341079,3.873186179055675
68.0,2.691478124041424,2.4442257045541464,0.29034101878914165,9.138353190376042,5.671966908374848,3.9094758759605996
69.0,2.7484239242513175,2.3956126034971965,0.2944976700139715,9.330488280242173,5.73290111013682,3.943086837222802
70.0,2.806529392414443,2.3476856460896736,0.2987138297074185,9.498474932624964,5.755593692966848,3.979957620823279
71.0,2.845920886458248,2.3161107439568918,0.30155808331261197,9.587749436449027,5.779517839082053,4.0097211959706485
72.0,2.9060054179571972,2.2693059057899685,0.3058753230246798,9.690222785576937,5.875042940047467,4.044819109971315
73.0,2.967305473366943,2.2231616887678074,0.3102543702616089,9.795761239795521,5.9763289271102265,4.07747794032631
74.0,3.0088579731457497,2.1927612791595026,0.3132085090505893,9.865570062207018,6.035806918210756,4.100176870695721
75.0,3.072231290973469,2.1476974418769252,0.31769254144188486,9.971306038480606,6.129332177853315,4.1365373528430185
76.0,3.1368772698499368,2.1032696525957713,0.32224076923625916,10.071358376175459,6.1926331716346,4.176093811815863
77.0,3.1806923396375266,2.0740000478804075,0.32530903852442117,10.142103281369364,6.235904973098388,4.200195492870722
78.0,3.2475077386178577,2.0306124514232167,0.3299663074803202,10.258370384124879,6.302746761290601,4.239238874498525
79.0,3.29278934427696,2.0020281392528516,0.3331081367707903,10.339607379821468,6.342537327879161,4.267143990047136
80.0,3.3618350776082777,1.9596563814681223,0.3378770610877318,10.492566741632366,6.404876974792276,4.310981336913265
81.0,3.4086240028754324,1.9317413170113755,0.34109421393951717,10.613873389309001,6.447602747224079,4.3386023861951
82.0,3.479961474656566,1.8903616139540933,0.345977470490958,10.824189876870381,6.50638720950287,4.374715351318414
83.0,3.5282987876937213,1.8631001280390262,0.34927175274338473,10.956471099753228,6.550213434295624,4.398677312483099
84.0,3.6019897617620327,1.822689252620354,0.3542720825792927,11.18770618787484,6.61576449939539,4.433153889356273
85.0,3.6519167237611208,1.796066042939108,0.357645343365653,11.31976568639555,6.656370511976082,4.4549136429804825
86.0,3.7024911227143984,1.769693939642695,0.36105072321781706,11.419594738289101,6.702729016357143,4.476039105315197
87.0,3.779581143664456,1.7306014344080238,0.36621968603660143,11.551543374628734,6.790620903270728,4.508283865134746
88.0,3.831803087380354,1.7048467841302206,0.3697067079241471,11.638460886025708,6.84563632620648,4.529981161192154
89.0,3.884695618980985,1.6793350481066067,0.3732269320728161,11.728547338218165,6.895450482843409,4.5506703458565605
90.0,3.938265337136893,1.6540639352039612,0.37678067462348125,11.812124150510973,6.941823777176288,4.570824246041066
91.0,4.019904040912364,1.616603475477679,0.3821748344263141,11.93346827272768,7.004867345850253,4.600128873734619
92.0,4.075195500867405,1.5919240379818054,0.38581377592325095,12.025502620284687,7.0457891438886815,4.62125387342069
93.0,4.131187117639905,1.5674773734837602,0.3894873662092373,12.142908792914705,7.084428492605997,4.642668491157252
94.0,4.187885403787746,1.5432612865012287,0.3931959351985036,12.257901761307519,7.127348133325143,4.665205031852986
95.0,4.2452968426604185,1.5192736022593798,0.39693981594661343,12.352275144741155,7.170630727456476,4.690114497438447
96.0,4.303427884508465,1.4955121664955557,0.40071934468037423,12.446970184643803,7.210362933694617,4.7151886659408
97.0,4.362284942489244,1.4719748452657977,0.40453486082803386,12.542124287662435,7.252623821965223,4.738570928355862
98.0,4.421874388570173,1.4486595247532112,0.4083867070497623,12.633897094158469,7.296132662386528,4.760343173493432
99.0,4.482202549331073,1.4255641110781272,0.41227522926842564,12.720288400555166,7.336914555475326,4.781402477072203
100.0,4.543275701667361,1.402686530110052,0.41620077670065275,12.808152924808734,7.37265427417945,4.802533491190632
101.0,4.605100068396202,1.380024727281405,0.42016370188819635,12.888428854696198,7.408456350518261,4.824980278049631
102.0,4.667681813768118,1.3575766674029972,0.42416436072959446,12.961569007576848,7.441206900041426,4.851730622585419
103.0,4.731027038886768,1.3353403344812569,0.42820311251213306,13.038765779421109,7.481320447199416,4.883876838244017
104.0,4.795141777040001,1.3133137315371863,0.43228031994411087,13.153435529905744,7.516811534821628,4.922000011720982
105.0,4.860031988945721,1.291494880427011,0.43639634918741516,13.241115023617668,7.554321251002783,4.966262532689987
106.0,4.9257035579162896,1.2698818216645282,0.4405515698904049,13.315861116684646,7.5871621391505695,5.014576005176728
107.0,4.958834167462915,1.259151857132577,0.4426439935158885,13.352022486422232,7.604325678371209,5.048166609898639
108.0,5.025688621808686,1.2378438532358027,0.4468587022075081,13.427680459964474,7.638091538100261,5.149270143141373
109.0,5.093338770433033,1.216736823447358,0.45111354195165587,13.504425195169027,7.667739395569053,5.2148926893070735
110.0,5.161790186576062,1.1958288722076,0.45540889486284936,13.591931369133091,7.6984409371727756,5.254522246765506
111.0,5.196318084388502,1.1854489635744057,0.45757188416079614,13.634369724333999,7.713723354413536,5.2702560018151985
112.0,5.265981631351412,1.1648361150467519,0.4619287312556701,13.707568431183528,7.744647145022957,5.29968832053421
113.0,5.336459929822709,1.1444176840193472,0.4663270627976121,13.772808482583658,7.7762488750454395,5.327632298568827
114.0,5.4077581800180665,1.124191836773563,0.47076727378771066,13.837464555734222,7.805740038970648,5.357001234423754
115.0,5.443716379840261,1.1141505637653806,0.4730032085410998,13.8723361767174,7.821451764542554,5.370362989881001
116.0,5.516254047488027,1.0942101917585805,0.4775069875675973,13.951462106656173,7.853733832348669,5.395797099027575
117.0,5.589624137566063,1.074457894547674,0.4820536500780824,14.041963120948257,7.888030531429464,5.418159683833559
118.0,5.6266228345338405,1.064651718993035,0.48434319008908516,14.082658910035462,7.905551427864303,5.429602835368462
