Redshift,Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
1.903,3.4035482502094134,62,280.85672082717866,816655834564.254,788.3169271771588
1.826,3.5395210614408477,63,294.01772525849333,943285081240.7681,800.3969815044445
1.738,3.706074245251531,64,301.0930576070901,1021627769571.6395,815.9207351653014
1.666,3.852039404050016,65,304.83013293943867,1068694239290.9896,834.0834069629066
1.595,4.005330648859183,66,308.8183161004431,1120711964549.483,849.3852089155235
1.537,4.1380238212264,67,322.1270310192024,1281689807976.3662,858.5043909091023
1.469,4.302863700119068,68,334.2097488921713,1445224519940.9158,873.5834341714685
1.414,4.444078540437954,69,336.79468242245196,1491979320531.7576,940.3276250708432
1.35,4.618010469172704,70,336.3220088626292,1502259970457.9023,913.0160237481317
1.298,4.767519355776625,71,336.61742983751844,1521225997045.79,898.731624050014
1.247,4.921821313360232,72,337.10487444608566,1543766617429.8374,893.4465326616206
1.207,5.048501545881991,73,336.0709010339734,1543028064992.6143,976.423224661565
1.158,5.210902319443069,74,334.0472673559823,1532895125553.9143,978.8925209014964
1.11,5.378187481427072,75,332.6735598227474,1532673559822.7473,927.3136997517806
1.072,5.516742183317032,76,330.576070901034,1519335302806.4993,972.0257790679149
1.035,5.657151746908872,77,328.5228951255539,1507326440177.2524,968.8606573258571
0.99,5.835657267816712,78,326.61742983751844,1502215657311.669,973.7851853656911
0.954,5.984925889355137,79,325.62776957163953,1506322008862.6292,992.2150162124416
0.92,6.1314743443417274,80,324.5790251107829,1510280649926.1445,1007.0556307050236
0.885,6.288280009550495,81,323.9143279172821,1520398818316.1003,1008.959484625099
0.852,6.441930961431011,82,322.92466765140324,1526779911373.7075,1001.7722562661592
0.819,6.60150134785066,83,322.0974889217134,1536115214180.2068,1006.4160887149087
0.786,6.767286363666197,84,321.6100443131462,1551565731166.9128,1012.8310023828714
0.762,6.891938257577819,85,320.97488921713443,1559778434268.833,1012.8427202606476
0.731,7.058261067482293,86,320.26587887740027,1573589364844.9038,1014.5355529976182
0.7,7.230838364822614,87,319.3796159527326,1585864106351.5508,1014.0398998750481
0.677,7.363097920077097,88,318.7592319054653,1596602658788.774,1012.8675578675807
0.647,7.541245459552444,89,318.301329394387,1617149187592.3188,1011.945059735613
0.625,7.6760992541526205,90,318.1388478581979,1636322008862.6292,1007.2348478370919
0.596,7.859537305692069,91,319.5716395864106,1689261447562.7769,1004.5543032128879
0.575,7.996553509894531,92,322.55539143279174,1761639586410.635,1004.0233533518406
0.547,8.184930564043999,93,328.4638109305761,1896809453471.1963,1001.7595680372768
0.526,8.33063774295648,94,329.2909896602659,1940221565731.1667,1004.20652580034
0.506,8.473061122257839,95,328.9364844903988,1964002954209.7488,1004.2286359827164
0.486,8.619165545014738,96,328.4785819793205,1987060561299.852,1006.1529292926813
0.459,8.822454757224136,97,327.4593796159527,2011580502215.6572,1005.6049962906038
0.439,8.977680498782219,98,326.3810930576071,2025509601181.6838,998.8763792571191
0.42,9.128933347146274,99,325.3471196454948,2040960118168.39,996.9422152835347
0.401,9.28399281865738,100,324.12112259970456,2053796159527.3264,992.3351725709123
0.382,9.442976215473088,101,322.0974889217134,2052038404726.7354,985.9112515694668
0.364,9.597321544370372,102,319.5420974889217,2040502215657.3115,978.5600274817594
0.346,9.755404100736131,103,316.9719350073855,2029423929098.9658,970.8608183368985
0.328,9.91733399954639,104,314.53471196454944,2021225997045.79,963.4723113541754
0.31,10.083224987834548,105,312.3633677991137,2018700147710.4873,955.6081482174661
0.292,10.253194588767297,106,310.8124076809453,2028966026587.8877,945.9630461958249
0.275,10.417575859721632,107,308.92171344165433,2033308714918.759,939.1942368565523
0.258,10.585809115748921,108,307.2525849335303,2042392909896.6025,933.5227962307549
0.241,10.758003408639935,109,306.0118168389955,2061152141802.0679,921.9210271177445
0.23,10.87158675338913,110,304.87444608567205,2067666174298.375,913.5363884446251
0.213,11.050552250154956,111,302.8360413589365,2071137370753.3232,900.3028335454412
0.197,11.222886201331546,112,300.96011816838995,2078788774002.954,887.805870528739
0.181,11.399102192939777,113,298.8330871491876,2081742983751.8462,877.4543654905646
0.165,11.579305643595353,114,296.02658788774,2070812407680.9453,869.057776287023
0.155,11.69400588091851,115,294.2540620384047,2065834564254.062,860.8404307087546
0.139,11.880922573432047,116,291.7872968980797,2062762186115.214,846.8144967320742
0.124,12.060042487650401,117,289.2762186115214,2059305760709.0103,829.9054739312675
0.114,12.181593952274879,118,287.44460856720826,2053618906942.3928,820.5984452385615
0.099,12.367202557614286,119,284.7562776957164,2046706056129.985,809.9969965146873
0.084,12.55684042003699,120,281.97932053175776,2038050221565.731,793.3475239081913
0.075,12.672601171018869,121,280.1772525849335,2033545051698.6704,783.2856281702626
0.06,12.868907973792403,122,277.6957163958641,2031757754800.5908,763.1761356808277
0.046,13.056016187829684,123,274.9483013293943,2024460856720.8271,740.6750959200958
0.037,13.178327328662581,124,272.8951255539143,2014667651403.2495,727.3528236182314
0.023,13.371812419226801,125,269.4977843426883,1993146233382.57,708.238034175122
0.014,13.498307651451077,126,267.2673559822747,1979497784342.6882,694.6206424139671
0.0,13.698436884332015,127,264.0324963072378,1961462333825.7014,676.3787907703947
