Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
4.005330648859183,66,230.79763663220086,467800590841.94977,734.7339738388118
4.1380238212264,67,229.37961595273262,462748892171.3441,748.0314141627
4.302863700119068,68,230.50221565731167,474127031019.20233,763.9690784421143
4.444078540437954,69,245.21418020679465,575802067946.8242,777.190657534672
4.618010469172704,70,290.5908419497784,968992614475.6277,791.635742368037
4.767519355776625,71,296.2924667651403,1037274741506.6469,798.3313130058483
4.921821313360232,72,300.7828655834564,1096567208271.7872,798.4172632465611
5.048501545881991,73,303.7075332348597,1138875923190.5464,808.3628227440522
5.210902319443069,74,307.7695716395864,1198951255539.1433,823.463097716797
5.378187481427072,75,316.64697193500734,1321744460856.7207,832.072298306139
5.516742183317032,76,322.88035450516986,1415719350073.8552,838.3319482702354
5.657151746908872,77,328.9807976366322,1513737075332.3484,845.5533520214435
5.835657267816712,78,333.6779911373707,1601728212703.1018,857.9834625792352
5.984925889355137,79,334.1063515509601,1627134416543.5745,872.1954094297755
6.1314743443417274,80,334.15066469719346,1647872968980.7976,882.7021021084009
6.288280009550495,81,333.7961595273264,1663722304283.604,894.2002429170923
6.441930961431011,82,336.2481536189069,1723456425406.2036,905.2362449944286
6.60150134785066,83,336.1004431314623,1745406203840.4727,918.9004037909045
6.767286363666197,84,333.63367799113735,1732186115214.1802,931.5526217340439
6.891938257577819,85,332.2156573116691,1729364844903.988,942.1238884422853
7.058261067482293,86,329.8670605612998,1719350073855.2437,951.2686306937775
7.230838364822614,87,329.08419497784337,1734830132939.4385,959.7641836789057
7.363097920077097,88,328.0945347119645,1740797636632.2007,969.2270644107352
7.541245459552444,89,326.30723781388474,1742186115214.1802,979.8005050822146
7.6760992541526205,90,324.16543574593794,1731093057607.09,983.8126587880823
7.859537305692069,91,322.437223042836,1735096011816.8389,987.8854585948385
7.996553509894531,92,321.2407680945347,1740251107828.6558,988.5787560632717
8.184930564043999,93,320.1477104874446,1756307237813.8848,987.9169414307015
8.33063774295648,94,320.1772525849335,1783559822747.415,990.4372983627951
8.473061122257839,95,322.42245199409155,1849586410635.155,993.4858546585178
8.619165545014738,96,321.8168389955687,1868478581979.3203,996.9100359463932
8.822454757224136,97,319.7636632200886,1873146233382.57,1002.2193149209343
8.977680498782219,98,318.2127031019202,1877060561299.852,1008.8071085578431
9.128933347146274,99,317.4150664697193,1895406203840.4727,1015.0205215845089
9.28399281865738,100,316.1299852289512,1905391432791.728,1019.2332052290723
9.442976215473088,101,314.28360413589365,1906248153618.9067,1023.5922230239281
9.597321544370372,102,313.943870014771,1935096011816.8389,1025.4418770007242
9.755404100736131,103,312.85081240768096,1951358936484.4902,1029.3265627103615
9.91733399954639,104,311.13737075332347,1956543574593.7961,1034.2469544699618
10.083224987834548,105,308.8183161004431,1950841949778.434,1042.3778092693756
10.253194588767297,106,306.3810930576071,1943412112259.9702,1049.054256998467
10.417575859721632,107,303.8847858197932,1935258493353.0278,1055.7063548537446
10.585809115748921,108,300.6351550960118,1913220088626.2922,1059.7276290057757
10.758003408639935,109,297.7695716395864,1898980797636.632,1065.0966799664502
10.87158675338913,110,296.23338257016246,1896883308714.9187,1070.1873640426809
11.050552250154956,111,294.1802067946824,1898714918759.2317,1074.9370469834223
11.222886201331546,112,292.27474150664693,1903884785819.793,1078.5988734103064
11.399102192939777,113,290.192023633678,1906262924667.6514,1082.1766714850644
11.579305643595353,114,288.301329394387,1912954209748.892,1083.4658098800255
11.69400588091851,115,287.2525849335303,1921861152141.802,1083.425157470366
11.880922573432047,116,286.02658788774,1943234859675.0369,1083.0420661379674
12.060042487650401,117,284.9335302806499,1967917282127.031,1081.700989561003
12.181593952274879,118,284.18020679468236,1984460856720.8271,1080.898646498512
12.367202557614286,119,286.48449039881825,2084194977843.4268,1081.4991495015543
12.55684042003699,120,287.71048744460853,2165022156573.1165,1080.4547674437533
12.672601171018869,121,287.47415066469716,2196425406203.8403,1079.1923174065614
12.868907973792403,122,285.89364844903986,2217237813884.7856,1079.7353724795535
13.056016187829684,123,284.1063515509601,2233397341211.226,1079.899550483568
13.178327328662581,124,282.821270310192,2242614475627.7695,1080.0378688118144
13.371812419226801,125,280.76809453471196,2253840472673.5596,1081.1801440969155
13.498307651451077,126,279.39438700147707,2261270310192.0234,1082.9435857256751
13.698436884332015,127,277.34121122599703,2273441654357.459,1087.1364857010424
