Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
4.005330648859183,66,216.98670605612998,388742983751.8464,682.0405446546065
4.1380238212264,67,218.05022156573116,397522895125.5539,682.7135417560338
4.302863700119068,68,218.92171344165436,406233382570.1625,690.7239244287724
4.444078540437954,69,219.52732644017723,413132939438.70013,699.5421205804431
4.618010469172704,70,220.1033973412112,421063515509.60114,711.2321190380305
4.767519355776625,71,221.00443131462333,430503692762.1861,720.2956777441191
4.921821313360232,72,221.698670605613,439069423929.09894,734.1271545440488
5.048501545881991,73,223.04283604135892,451087149187.5923,742.7834706597542
5.210902319443069,74,225.96750369276216,474493353028.06494,753.2240154120564
5.378187481427072,75,232.42245199409155,522706056129.98517,760.7164900376598
5.516742183317032,76,241.0930576070901,589451994091.5804,769.1310279686594
5.657151746908872,77,260.08862629246676,748008862629.2466,780.9042176815714
5.835657267816712,78,271.2112259970458,860057607090.1034,800.2569262000578
5.984925889355137,79,276.6617429837518,923834564254.062,815.0264553141128
6.1314743443417274,80,282.6144756277696,997016248153.6189,828.2649462863945
6.288280009550495,81,286.4549483013294,1051505169867.0605,837.0641716854843
6.441930961431011,82,287.45937961595274,1076874446085.672,839.8816319193841
6.60150134785066,83,287.9615952732644,1097654357459.3795,844.6105395475681
6.767286363666197,84,288.37518463810926,1118469719350.0737,851.9041681408163
6.891938257577819,85,292.3338257016248,1178319054652.8804,858.6274653770839
7.058261067482293,86,294.9335302806499,1228989660265.879,866.7444726364936
7.230838364822614,87,293.5302806499261,1231249630723.7812,874.8487764639697
7.363097920077097,88,291.90546528803543,1226079763663.22,881.4474297383799
7.541245459552444,89,290.6056129985229,1230781388478.5818,898.5486639852678
7.6760992541526205,90,288.90694239290985,1225465288035.4504,914.0286556117787
7.859537305692069,91,287.3264401772526,1227644017725.2583,923.6392269287879
7.996553509894531,92,286.60265878877397,1235824224519.941,929.4691707830638
8.184930564043999,93,283.47119645494826,1219218611521.418,934.2192382463504
8.33063774295648,94,279.94091580502214,1192041358936.4844,938.0654003386339
8.473061122257839,95,276.70605612998526,1169144756277.6956,939.9714379977028
8.619165545014738,96,273.63367799113735,1148652880354.5051,940.3911044357205
8.822454757224136,97,270.354505169867,1132106351550.96,942.1448804081332
8.977680498782219,98,267.75480059084197,1118404726735.5981,942.87201537039
9.128933347146274,99,265.642540620384,1110883308714.9187,940.830506664454
9.28399281865738,100,263.6484490398818,1105355982274.7415,943.6210777459451
9.442976215473088,101,262.3042836041359,1108206794682.4224,944.8051851409745
9.597321544370372,102,261.4623338257016,1117782865583.4563,942.7922157143205
9.755404100736131,103,261.9940915805022,1145936484490.3987,938.3737767520903
9.91733399954639,104,261.2259970457902,1157929098966.0266,937.3671682087638
10.083224987834548,105,259.91137370753324,1162948301329.3943,944.1951200262496
10.253194588767297,106,258.52289512555393,1167534711964.5493,945.7885577601736
10.417575859721632,107,257.2378138847858,1174005908419.4978,939.2497746303825
10.585809115748921,108,256.04135893648447,1181958641063.5154,939.3912339023786
10.758003408639935,109,254.78581979320532,1189680945347.1196,936.9472314391458
10.87158675338913,110,254.03249630723778,1196200886262.9246,937.0070485597896
11.050552250154956,111,252.8951255539143,1206239290989.6602,936.8533322549772
11.222886201331546,112,251.37370753323486,1211215657311.669,932.963440041283
11.399102192939777,113,249.8522895125554,1216691285081.2407,927.769526093646
11.579305643595353,114,248.50812407680945,1225104874446.0857,921.5697188644494
11.69400588091851,115,247.60709010339733,1230991137370.7532,919.3480744562453
11.880922573432047,116,246.2629246676514,1240172821270.31,910.9333205082746
12.060042487650401,117,245.0812407680945,1252184638109.3057,905.0155135429316
12.181593952274879,118,244.16543574593797,1258658788774.003,900.2816007336099
12.367202557614286,119,242.96898079763662,1271378138847.8582,894.0220234507545
12.55684042003699,120,242.15657311669128,1290846381093.0576,888.7632901700673
12.672601171018869,121,241.89069423929095,1308601181683.8994,885.0413565950889
12.868907973792403,122,242.39290989660265,1351329394387.0015,880.472389867989
13.056016187829684,123,244.81536189069425,1429106351550.96,873.3771563616784
13.178327328662581,124,253.05760709010337,1606543574593.7961,869.3231347624273
13.371812419226801,125,259.61595273264396,1781846381093.0574,863.4901888374485
13.498307651451077,126,260.98966026587885,1843220088626.2922,859.5607220395888
13.698436884332015,127,262.20088626292466,1921122599704.5789,856.4808589026179
