# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
3.124256134033203125e-01 4.002089612185955048e-03 6.193414330482482910e-03 5.341410360415466130e-05 6.174330599606037140e-03 6.385925225913524628e-04
4.131142497062683105e-01 6.857872940599918365e-03 7.830739021301269531e-03 4.271882644388824701e-04 7.547657471150159836e-03 1.044611446559429169e-03
4.348414242267608643e-01 1.101074926555156708e-02 2.412832155823707581e-02 2.395059345872141421e-05 2.412832155823707581e-02 2.107240492478013039e-03
5.309691429138183594e-01 1.716896891593933105e-02 2.443378046154975891e-02 3.737801162060350180e-04 2.427741140127182007e-02 4.275782033801078796e-03
6.438457965850830078e-01 2.331526950001716614e-02 4.724510014057159424e-02 3.253012982895597816e-05 4.710560292005538940e-02 8.063475601375102997e-03
1.048890709877014160e+00 3.186447918415069580e-02 4.690058529376983643e-02 7.213946082629263401e-04 4.644588753581047058e-02 9.729495272040367126e-03
1.765890359878540039e+00 4.786318913102149963e-02 5.387093871831893921e-02 2.214952837675809860e-03 5.254886671900749207e-02 1.380443014204502106e-02
2.068310260772705078e+00 7.726143300533294678e-02 1.089208871126174927e-01 1.619894173927605152e-03 1.077174395322799683e-01 2.305293269455432892e-02
2.490638732910156250e+00 1.667987555265426636e-01 1.863495111465454102e-01 1.151149393990635872e-03 1.847042441368103027e-01 4.076888412237167358e-02
2.686758756637573242e+00 2.239986807107925415e-01 2.312081307172775269e-01 1.716818078421056271e-03 2.292861044406890869e-01 8.016190677881240845e-02
3.098624229431152344e+00 2.768288850784301758e-01 2.513416707515716553e-01 2.847138559445738792e-03 2.479240298271179199e-01 1.091598346829414368e-01
3.536936998367309570e+00 3.377476334571838379e-01 2.394429892301559448e-01 3.386216703802347183e-03 2.350415140390396118e-01 1.389428973197937012e-01
4.143928050994873047e+00 4.068130254745483398e-01 2.630929648876190186e-01 7.061638403683900833e-03 2.567470967769622803e-01 1.692492216825485229e-01
4.612488269805908203e+00 4.952250421047210693e-01 3.412396013736724854e-01 5.353028886020183563e-03 3.352163136005401611e-01 2.036537975072860718e-01
4.976661205291748047e+00 6.155794262886047363e-01 6.269669532775878906e-01 3.517115022987127304e-03 6.230228543281555176e-01 2.766168713569641113e-01
5.202547550201416016e+00 7.768490314483642578e-01 8.035317063331604004e-01 4.312145989388227463e-03 7.996767759323120117e-01 3.731014430522918701e-01
5.538995265960693359e+00 9.159597158432006836e-01 7.709441184997558594e-01 7.556172553449869156e-03 7.627372741699218750e-01 4.697355031967163086e-01
5.616932868957519531e+00 1.017130255699157715e+00 7.642223834991455078e-01 7.475228514522314072e-03 7.570351958274841309e-01 5.581743717193603516e-01
