Snapshot,Time_Gyr,Redshift,ExpansionFactor,SubhaloGasMassUnder10000K_Msun,SubhaloGasMassUnder20000K_Msun,SubhaloGasMassUnder50000K_Msun,SubhaloGasMassUnder100000K_Msun,Suite,Simulation,Galaxy
39,0.787921774026992,6.855117262650799,0.1273055470164348,23212436.0,1300633088.0,1758754432.0,2233293824.0,Au,16,
40,0.8458612530579325,6.491597745667503,0.1334828742744916,22572814.0,1678903808.0,2077708160.0,2427947008.0,Au,16,
41,0.9080449696290196,6.144901203416368,0.1399599478746949,52399420.0,2019835520.0,2344983040.0,2644339200.0,Au,16,
42,0.9678924784861273,5.846613747881867,0.1460576040687806,0.0,2151892224.0,2638984704.0,3016013568.0,Au,16,
43,1.0390037466243902,5.529765807949103,0.1531448492046431,0.0,2609637376.0,3174487040.0,3674285824.0,Au,16,
44,1.115309430693374,5.227580973127337,0.1605759932010687,0.0,4349244928.0,5724749312.0,6387497984.0,Au,16,
45,1.197181863756146,4.939380663491011,0.1683677232791182,1034034624.0,5951834112.0,7072643584.0,7801383936.0,Au,16,
46,1.2850184010331818,4.664517702470927,0.1765375363843931,633836352.0,5242097152.0,6845434368.0,8434648064.0,Au,16,
47,1.3695201902147045,4.428033736605549,0.1842287739031916,648997760.0,5638455808.0,7095362560.0,8710575104.0,Au,16,
48,1.469878490582777,4.176834914726472,0.1931682227600717,597148416.0,6181255680.0,8221344768.0,10257960960.0,Au,16,
49,1.577506484958674,3.937261084727584,0.2025414461255243,1038429824.0,7720141312.0,10202450944.0,12149449728.0,Au,16,
50,1.6929110344480442,3.7087742646422353,0.2123694923132991,395168128.0,5903348224.0,9592645632.0,11642645504.0,Au,16,
51,1.816629764214748,3.4908613692606485,0.2226744309777334,410763712.0,5728984576.0,9610359808.0,11733780480.0,Au,16,
52,1.949231863937383,3.283033057956525,0.2334794026729061,922572224.0,6260210176.0,10206178304.0,12113009664.0,Au,16,
53,2.0913186379114133,3.084822635834013,0.2448086708165791,756261440.0,7369018368.0,11307232256.0,13462945792.0,Au,16,
54,2.243523728229641,2.8957850057274284,0.2566876761756205,553646080.0,5626219520.0,10137491456.0,14025529344.0,Au,16,
55,2.38970908764874,2.7331426173187188,0.2678708269437177,752252288.0,6321799168.0,10200377344.0,13698495488.0,Au,16,
56,2.545136331266385,2.577290271601893,0.2795411957308694,522633984.0,5970126848.0,10919560192.0,14562415616.0,Au,16,
57,2.691478124041424,2.4442257045541464,0.2903410187891416,828088384.0,6860135424.0,12076577792.0,15841595392.0,Au,16,
58,2.845920886458248,2.316110743956892,0.3015580833126119,560870784.0,6404076544.0,11851274240.0,15877707776.0,Au,16,
59,2.988012615874371,2.207925472383703,0.3117279402557108,1153837824.0,9108414464.0,15604926464.0,20009046016.0,Au,16,
60,3.1368772698499368,2.1032696525957717,0.3222407692362591,745467840.0,8135885312.0,15424007168.0,19550404608.0,Au,16,
61,3.29278934427696,2.002028139252852,0.3331081367707903,1050309184.0,11328568320.0,20377577472.0,25269841920.0,Au,16,
62,3.456027342112737,1.9040895435327672,0.344341999449342,1577488384.0,13805691904.0,24196190208.0,29435269120.0,Au,16,
63,3.6019897617620327,1.822689252620354,0.3542720825792927,1012686336.0,12456965120.0,23986688000.0,29921906688.0,Au,16,
64,3.7537195774394343,1.7435705743308647,0.3644885279628326,1317413888.0,17528258560.0,30879416320.0,38144696320.0,Au,16,
65,3.911395417791096,1.666669556114465,0.3749995936718436,1732826624.0,20474593280.0,32583239680.0,39833239552.0,Au,16,
66,4.047462659359281,1.6042345220731056,0.3839899945738943,4119961856.0,29007290368.0,42424004608.0,50114768896.0,Au,16,
67,4.216501575170758,1.5312390291576137,0.395063440663206,5987066368.0,35340283904.0,50420101120.0,58619002880.0,Au,16,
68,4.362284942489244,1.4719748452657977,0.4045348608280338,3277918976.0,26882551808.0,44305682432.0,55407734784.0,Au,16,
69,4.51264561130662,1.4140982203725216,0.4142333528772864,2698767360.0,30447306752.0,47967399936.0,57102319616.0,Au,16,
70,4.667681813768118,1.3575766674029972,0.4241643607295944,8122994176.0,40756133888.0,51932278784.0,61570088960.0,Au,16,
71,4.827489579195381,1.3023784599059651,0.4343334588184266,4110011136.0,38636343296.0,57804939264.0,68449517568.0,Au,16,
72,4.992162284945694,1.2484726142451428,0.4447463552211064,5738103808.0,36542803968.0,56937033728.0,70635487232.0,Au,16,
73,5.127463975584815,1.2062580807810006,0.4532561302374954,4953596928.0,36097019904.0,56328646656.0,68575805440.0,Au,16,
74,5.301118608921481,1.1546027123602154,0.4641226868709222,3016293632.0,30371577856.0,51007934464.0,64184520704.0,Au,16,
75,5.443716379840261,1.1141505637653806,0.4730032085410998,9598014464.0,42911313920.0,57844731904.0,70255353856.0,Au,16,
76,5.589624137566063,1.074457894547674,0.4820536500780824,4395956224.0,34566942720.0,57027444736.0,70626410496.0,Au,16,
77,5.738880497072539,1.035510445664141,0.4912772627279358,5159562752.0,36241809408.0,58625703936.0,73011847168.0,Au,16,
78,5.930215178562359,0.987852810815766,0.5030553542792862,3944928768.0,34358329344.0,60533825536.0,75274846208.0,Au,16,
79,6.087135431528504,0.9505313515850328,0.5126808134549512,5466067968.0,36637958144.0,61524484096.0,74583228416.0,Au,16,
80,6.207093384097111,0.9230008161779087,0.5200205801199638,4341956608.0,32317313024.0,55869112320.0,69717622784.0,Au,16,
81,6.370083836372647,0.8868969375752482,0.5299706518603222,13177839616.0,43257851904.0,64199909376.0,77238484992.0,Au,16,
82,6.536579634205232,0.8514709006246495,0.5401111082343341,11436771328.0,46332452864.0,65443356672.0,80016277504.0,Au,16,
83,6.706603691236406,0.8167099790118506,0.5504455920608321,10968928256.0,43137982464.0,63431262208.0,80354058240.0,Au,16,
84,6.836449148310662,0.7910682489463392,0.5583260161014446,6145848832.0,38955925504.0,63491571712.0,80447193088.0,Au,16,
85,7.012693145756433,0.7574413726158526,0.5690090239036288,6915825664.0,42111852544.0,66517852160.0,79331106816.0,Au,16,
86,7.147221247683246,0.7326361820223115,0.5771552102951079,9022646272.0,48157806592.0,70948487168.0,82945155072.0,Au,16,
87,7.329727457563047,0.7001063537185233,0.5881984958251407,12226991104.0,49874747392.0,74696278016.0,86895837184.0,Au,16,
88,7.468962790806977,0.6761104112134777,0.596619407235837,10048209920.0,49145245696.0,71861264384.0,85606580224.0,Au,16,
89,7.657754221443944,0.6446418406845371,0.6080351206337894,15268556800.0,51105759232.0,76141756416.0,88984985600.0,Au,16,
90,7.80170653839661,0.6214287452425136,0.616740021992414,9585922048.0,51180990464.0,74487324672.0,88571953152.0,Au,16,
91,7.947679589081643,0.5985432881875667,0.6255695465925124,18595702784.0,55636291584.0,76490858496.0,90968457216.0,Au,16,
92,8.095671082722221,0.5759808451078874,0.6345254785958663,19755337728.0,53377466368.0,74458750976.0,88216494080.0,Au,16,
93,8.296126559325902,0.5463921831410221,0.6466664866145445,17834674176.0,56020529152.0,78099185664.0,88489672704.0,Au,16,
94,8.448811765562718,0.524565820433923,0.6559244517992534,16846486528.0,58259361792.0,78165262336.0,89277194240.0,Au,16,
95,8.60349865622863,0.5030475232448832,0.6653149581332802,16922548224.0,54152036352.0,77568000000.0,87238402048.0,Au,16,
96,8.760179450310375,0.4818329434209512,0.6748399031346985,18752131072.0,60225855488.0,81888821248.0,89011200000.0,Au,16,
97,8.918845098217659,0.4609177941806475,0.684501211487295,19789402112.0,61246853120.0,82834046976.0,89534513152.0,Au,16,
98,9.079485288786328,0.4402978492477432,0.6943008354294861,20974731264.0,58453622784.0,82507431936.0,89216114688.0,Au,16,
99,9.242088459951992,0.4199689419972665,0.7042407551488017,16999639040.0,52746088448.0,78998315008.0,86980608000.0,Au,16,
100,9.406641813093389,0.3999269646135635,0.7143229791820179,12099818496.0,51910488064.0,77535707136.0,86144360448.0,Au,16,
101,9.573131331020738,0.3801678672602386,0.7245495448210172,18269044736.0,52058587136.0,77537542144.0,85809061888.0,Au,16,
102,9.741541799560094,0.3606876572618167,0.7349225185244588,16007284736.0,55772282880.0,78190231552.0,85881831424.0,Au,16,
103,9.854874595547289,0.3478538418581776,0.7419202059930923,16214009856.0,55917813760.0,77593919488.0,84577476608.0,Au,16,
104,10.026449669104904,0.3288297242059543,0.7525418658117033,15145125888.0,51343867904.0,73565929472.0,81267843072.0,Au,16,
105,10.19989947196752,0.3100741201278338,0.7633155900388464,19054133248.0,54766903296.0,73749471232.0,80733691904.0,Au,16,
106,10.375204641492832,0.2915832397219244,0.7742435556962617,16285305856.0,54766018560.0,73928335360.0,80128098304.0,Au,16,
107,10.552344763553132,0.2733533465784399,0.7853279709729014,18278141952.0,53838282752.0,72943239168.0,79030525952.0,Au,16,
108,10.67144705609926,0.2613432561610123,0.7928056023731169,22860449792.0,53838618624.0,72701231104.0,78470946816.0,Au,16,
109,10.85159733936031,0.2435401815546702,0.8041557601699713,16781143040.0,53346582528.0,71542317056.0,76452970496.0,Au,16,
