Time_Gyr,AccretionRate_Au1_Msun/yr,AccretionRate_Au2_Msun/yr,AccretionRate_Au3_Msun/yr,AccretionRate_Au4_Msun/yr,AccretionRate_Au5_Msun/yr,AccretionRate_Au6_Msun/yr,AccretionRate_Au7_Msun/yr,AccretionRate_Au8_Msun/yr,AccretionRate_Au9_Msun/yr,AccretionRate_Au10_Msun/yr,AccretionRate_Au11_Msun/yr,AccretionRate_Au12_Msun/yr,AccretionRate_Au13_Msun/yr,AccretionRate_Au14_Msun/yr,AccretionRate_Au15_Msun/yr,AccretionRate_Au16_Msun/yr,AccretionRate_Au17_Msun/yr,AccretionRate_Au18_Msun/yr,AccretionRate_Au19_Msun/yr,AccretionRate_Au20_Msun/yr,AccretionRate_Au21_Msun/yr,AccretionRate_Au22_Msun/yr,AccretionRate_Au23_Msun/yr,AccretionRate_Au24_Msun/yr,AccretionRate_Au25_Msun/yr,AccretionRate_Au26_Msun/yr,AccretionRate_Au27_Msun/yr,AccretionRate_Au28_Msun/yr,AccretionRate_Au29_Msun/yr,AccretionRate_Au30_Msun/yr
1.949232,-10.735522,-0.11784,1.411743,1.044002,0.051827,0.018894,1.034229,-1.877143,4.690865,11.148482,14.275623,1.305099,-0.308408,2.458982,-0.089648,3.422332,4.711394,3.837433,4.476406,3.965946,3.864053,1.655186,10.060726,1.346451,10.376913,-0.044198,8.538867,3.410773,4.854346,-0.850734
2.091319,2.49686,7.215237,8.240171,0.549503,4.779868,15.624146,6.261814,4.266504,2.180342,-6.971395,-3.679964,-0.651643,1.137483,7.237347,0.030782,0.862078,10.792181,7.875823,-0.503942,6.97294,3.180508,5.824754,-1.553589,16.485218,3.635707,8.398303,-4.00468,0.392454,1.463612,0.487716
2.243524,-1.011172,4.710237,2.850656,0.145766,2.145797,-4.512414,-4.868511,1.76602,8.922849,2.358005,0.443587,7.199323,5.519334,2.745622,-0.419022,0.659783,7.808402,22.766313,-2.880951,3.386444,2.34771,3.285287,13.837714,-1.432367,0.978894,1.584601,3.011782,2.420255,41.849217,1.481509
2.389709,51.623672,0.06036,-0.675647,0.852376,4.032065,-2.07092,4.673356,5.01095,8.049068,6.107509,4.691129,3.213028,1.174756,7.829353,0.964286,5.379209,13.921749,18.274957,4.644432,6.851409,1.678212,13.934182,5.201844,-1.970951,0.621474,0.569234,1.367227,0.076407,6.64879,2.263115
2.545136,-18.39401,9.20128,8.219328,0.768113,6.598693,5.070185,2.726714,4.644897,0.607771,2.351334,11.585064,-2.697687,1.824319,3.991577,0.258058,3.422185,13.222237,4.911639,5.254226,5.00063,3.614454,8.409698,-2.062739,3.109793,4.31352,-0.23356,6.099218,1.746326,21.618215,3.03067
2.691478,2.169055,29.330209,6.286936,0.090312,-0.526537,3.348446,-1.895985,-3.237807,4.367422,1.191374,0.846322,4.030893,-0.813916,8.561197,3.538009,4.945274,15.041374,6.201657,-3.288051,14.742774,2.054179,9.046298,6.768531,2.915258,6.607625,12.767484,-5.449191,2.934994,10.791868,-1.426454
2.845921,2.87911,7.492813,5.837959,0.0574,-0.733858,19.488548,3.498975,1.503382,2.569935,7.256269,7.826218,2.851359,22.163908,7.009097,-0.118158,3.783782,5.554934,12.836929,8.572425,1.242854,4.947901,-4.659519,17.551852,1.507171,2.58321,3.903753,34.297745,6.478832,-0.840108,3.161627
2.988013,2.905574,13.555901,3.090795,-0.75381,5.681976,-8.893225,-2.844514,7.889021,6.493939,1.815015,4.752519,4.755779,-2.629582,11.719617,-1.044438,1.987639,22.475616,18.123623,8.206297,0.79976,0.73794,14.208895,10.242951,7.203731,7.354988,1.493905,9.324268,2.754758,7.149281,-0.908976
3.136877,5.706507,10.936459,3.785467,1.683329,17.242581,13.350385,0.472362,20.038103,4.907891,0.10543,8.176318,3.789411,3.433485,-3.417633,-1.146542,9.277577,25.792668,15.99666,5.246993,2.742665,4.388206,21.758722,5.672118,5.749792,-0.046068,-1.773528,-1.063723,6.37693,-1.588385,0.910965
3.292789,12.129779,5.841641,6.16393,1.347649,-1.860721,4.486099,-0.018136,-2.643473,4.296518,6.526541,1.357903,-0.196072,-0.342815,3.220358,8.004713,-1.753972,-1.682556,14.103467,0.769337,5.09244,5.336683,-1.779,-0.344149,13.545504,12.919343,19.54011,1.721954,3.782102,7.726631,0.230564
