Time_Gyr,Delta1200_Au1,Delta1200_Au2,Delta1200_Au3,Delta1200_Au4,Delta1200_Au5,Delta1200_Au6,Delta1200_Au7,Delta1200_Au8,Delta1200_Au9,Delta1200_Au10,Delta1200_Au11,Delta1200_Au12,Delta1200_Au13,Delta1200_Au14,Delta1200_Au15,Delta1200_Au16,Delta1200_Au17,Delta1200_Au18,Delta1200_Au19,Delta1200_Au20,Delta1200_Au21,Delta1200_Au22,Delta1200_Au23,Delta1200_Au24,Delta1200_Au25,Delta1200_Au26,Delta1200_Au27,Delta1200_Au28,Delta1200_Au29,Delta1200_Au30
1.577506,0.088397,0.094341,0.087783,0.070685,0.074997,0.07554,0.062827,0.084528,0.084128,0.077482,0.0686,0.075482,0.077707,0.101031,0.046861,0.089952,0.109894,0.104758,0.062415,0.072529,0.075328,0.08178,0.095672,0.089566,0.072842,0.097077,0.085581,0.068827,0.104028,0.060437
1.692911,0.105677,0.113391,0.106663,0.085026,0.09009,0.097374,0.075311,0.101859,0.102181,0.092076,0.081935,0.093993,0.093288,0.123154,0.054982,0.107745,0.132217,0.124819,0.073808,0.085858,0.090096,0.097438,0.11421,0.10778,0.086895,0.10421,0.113047,0.082356,0.123825,0.071253
1.81663,0.127054,0.135337,0.132768,0.103058,0.109393,0.115391,0.090199,0.122925,0.119957,0.109003,0.098558,0.113045,0.111897,0.149775,0.064563,0.129724,0.158672,0.147651,0.087014,0.101259,0.110385,0.116204,0.135987,0.130581,0.10255,0.125447,0.13964,0.098547,0.141597,0.083859
1.949232,0.15055,0.161542,0.163849,0.096418,0.132076,0.136708,0.107096,0.146307,0.145303,0.128735,0.11761,0.136723,0.133501,0.17954,0.075883,0.155182,0.188856,0.17428,0.103588,0.1209,0.133254,0.137756,0.161897,0.158553,0.120868,0.150541,0.170051,0.117546,0.16889,0.098418
2.091319,0.178193,0.192181,0.19985,0.11635,0.159422,0.161664,0.127071,0.174061,0.176135,0.152026,0.141767,0.166097,0.159243,0.214162,0.089374,0.185607,0.222624,0.206258,0.123488,0.143241,0.160271,0.162603,0.197037,0.192459,0.142183,0.206146,0.178152,0.141011,0.206517,0.11544
2.243524,0.210669,0.228817,0.239475,0.13989,0.19179,0.190794,0.153167,0.208909,0.210699,0.17937,0.169451,0.199136,0.190487,0.254667,0.151989,0.224285,0.262708,0.245275,0.146005,0.168618,0.192826,0.191756,0.233444,0.232,0.167155,0.246349,0.256538,0.168645,0.243498,0.135224
2.389709,0.246365,0.266261,0.279866,0.164826,0.227241,0.222197,0.179393,0.244455,0.246604,0.20843,0.197226,0.235603,0.222558,0.298995,0.177509,0.268841,0.304997,0.285598,0.168706,0.195389,0.227514,0.222342,0.271208,0.271507,0.193385,0.26884,0.301797,0.199696,0.283472,0.155572
2.545136,0.288316,0.327344,0.32551,0.194178,0.26768,0.257867,0.208725,0.287338,0.288152,0.242928,0.230133,0.276181,0.259825,0.357274,0.207929,0.315778,0.353864,0.334214,0.194606,0.226644,0.269359,0.256443,0.315377,0.318264,0.223644,0.317278,0.353074,0.236743,0.326422,0.179361
2.691478,0.330243,0.396378,0.373016,0.222699,0.307535,0.295465,0.238406,0.326652,0.330909,0.277215,0.263239,0.317028,0.298375,0.4163,0.240177,0.378171,0.402722,0.382762,0.220538,0.259039,0.311106,0.291705,0.364831,0.374055,0.253597,0.365875,0.406534,0.279168,0.371493,0.22853
2.845921,0.377929,0.458754,0.426792,0.254728,0.352416,0.337137,0.27211,0.370609,0.377918,0.31627,0.306707,0.363352,0.348304,0.482998,0.277296,0.447246,0.45996,0.438172,0.249715,0.296262,0.361883,0.331434,0.421385,0.449764,0.287322,0.442699,0.467445,0.311272,0.421621,0.266992
