SnapNo,Mgas,Mstar,SFR,Mcold
71,53755360000.0,5052885500.0,3.0789354,33003329526.3744
72,55891124000.0,5486955500.0,3.5805933,30258980248.13991
73,58941157000.0,5894723600.0,3.5222876000000003,31735502634.654182
74,64804053000.0,7139726000.0,6.1978836,28904389419.44297
75,65338260000.0,8204064300.0,6.551348,31874461575.48417
76,68817220000.0,9668251000.0,7.151814999999999,43436128596.611534
77,70541120000.0,10365540000.0,6.5130224000000005,50613281469.75361
78,76935350000.0,11422262000.0,6.2503247,51376453354.580536
79,92796060000.0,13322214000.0,18.811647,33262663436.957264
80,80856250000.0,15919472000.0,10.263797,38303934488.90224
81,77649280000.0,14653846000.0,5.949839599999999,41695546188.2418
82,84290000000.0,15396020000.0,4.2181315,48584990874.70321
83,89648670000.0,17502250000.0,4.232608,50912537285.98928
84,93859740000.0,22222481000.0,10.282445,42274720207.45101
85,95463920000.0,24597723000.0,14.099428,40697104117.36673
86,96760300000.0,26031006000.0,12.5235615,35969820121.190384
87,96695830000.0,27262190000.0,11.483848,38414001464.84375
88,95607350000.0,28003120000.0,9.90544,40039907001.850334
89,93845880000.0,29026032000.0,10.59775,37941439641.27917
90,92564410000.0,29906460000.0,11.600859,36127401771.71445
91,90216290000.0,31104166000.0,11.250208,41429197066.291565
92,88820430000.0,32036686000.0,12.532743,32741928382.32133
93,87680010000.0,33288405000.0,10.768957,38584194296.04376
94,86733680000.0,34139339000.0,11.521758,36194497056.338425
95,85195060000.0,35134677000.0,11.381935,33099732335.59635
96,84561660000.0,35964640000.0,9.434035,36284014956.81379
97,83606950000.0,36910200000.0,9.073833,33976116067.72576
98,82835140000.0,37624754000.0,8.996713,32574827597.09548
99,81994330000.0,38356857000.0,8.326559,35306833343.28047
100,80705620000.0,39000680000.0,8.132037,33740092239.492573
101,80366040000.0,39580820000.0,6.92644,34953051162.78734
102,81166565000.0,40110363000.0,6.8984427,35989629641.2413
103,81614600000.0,40800420000.0,7.292434700000001,37579244137.51464
104,81036040000.0,41290650000.0,7.2278767,39330874095.110985
105,80357990000.0,41879160000.0,7.085982,39832401839.10555
106,79402760000.0,42564473000.0,7.7777147,35187261319.406975
107,78897316000.0,43157987000.0,6.082929599999999,38930352012.375084
108,78665460000.0,43568587000.0,5.322496,45422539225.004974
109,77998620000.0,43990770000.0,5.6965013,46545860510.28095
110,77262135000.0,44312044000.0,5.8256945999999985,47731304450.43656
111,76386296000.0,44795388000.0,5.783396,47618004560.82275
112,75677070000.0,45287410000.0,5.5701385000000005,47124935922.10146
113,75383040000.0,45774280000.0,5.4555655,47828939852.017235
114,75418920000.0,46309570000.0,5.299381,49981275020.35707
115,75988200000.0,46731563000.0,5.7725916,47095086056.86565
116,76090790000.0,47333620000.0,6.5040809999999984,44352772316.869286
117,76450865000.0,47874110000.0,5.8904676,46312565993.69922
118,76378825000.0,48249840000.0,5.9807973,46047583288.42095
119,76452710000.0,48865575000.0,6.275289,46102518169.003006
120,76798525000.0,49458102000.0,5.7926902999999985,47063454215.24837
121,76542435000.0,49802720000.0,5.7114129999999985,46223738344.94473
122,75972810000.0,50403045000.0,6.3398080000000006,43100511305.793526
123,75926230000.0,51220680000.0,5.841085,42353673030.565895
124,75560210000.0,51468624000.0,4.7338076,45145223552.75457
125,75187170000.0,51839620000.0,4.280803700000001,44240778975.155716
126,74997610000.0,52080267000.0,4.0281925,45740146580.615814
127,74354060000.0,52415967000.0,3.8203905,43742001672.967316
